# Year Metric
1970.00 940.60
1971.00 1008.20
1972.00 912.70
1973.00 919.10
1974.00 976.20
1975.00 1043.90
1976.00 900.00
1977.00 1158.00
1978.00 976.80
1979.00 1065.50
1980.00 1071.60
1981.00 859.10
1982.00 941.00
1983.00 813.80
1984.00 947.60
1985.00 1038.50
1986.00 815.80
1987.00 1013.40
1988.00 921.50
1989.00 1079.90
1990.00 978.50
1991.00 874.10
1992.00 874.30
1993.00 1087.30
1994.00 918.90
1995.00 1174.00
1996.00 1212.60
1997.00 1031.20
1998.00 1002.80
1999.00 1171.10
2000.00 1060.60
2001.00 1031.50
2002.00 909.20
2003.00 1112.90
2004.00 1080.90
2005.00 1038.40
2006.00 1091.30
2007.00 914.80
2008.00 1212.40
2009.00 1028.00
