# Year Metric
1970.00 712.80
1971.00 879.60
1972.00 898.30
1973.00 798.50
1974.00 964.50
1975.00 960.90
1976.00 701.60
1977.00 1123.80
1978.00 800.90
1979.00 1247.20
1980.00 869.50
1981.00 710.20
1982.00 917.60
1983.00 594.80
1984.00 871.20
1985.00 1041.70
1986.00 471.00
1987.00 673.10
1988.00 857.90
1989.00 899.40
1990.00 869.50
1991.00 876.90
1992.00 765.40
1993.00 1061.20
1994.00 821.50
1995.00 1158.70
1996.00 1022.20
1997.00 1148.20
1998.00 725.00
1999.00 1207.70
2000.00 995.50
2001.00 979.80
2002.00 892.80
2003.00 1111.30
2004.00 1002.50
2005.00 1024.30
2006.00 833.90
2007.00 856.50
2008.00 1140.70
2009.00 1026.80
